"","it","alpha","N","E","D","C","L","w","SWI"
"1",1,1.1,100,296,0.0597979797979798,0.112266112266112,2.80127808699237,0.235565111054522,0.079611396035824
"2",2,1.1,102,321,0.0623179965055329,0.0966837926202709,2.70787878787879,0.209746737416383,0.0511042827840209
"3",3,1.1,104,294,0.0548917102315161,0.0734843845682792,2.9167289021658,0.195585839918551,0.0289725790443631
"4",4,1.1,106,324,0.0582210242587601,0.0797138477261114,2.7559748427673,0.189052449110702,0.0324350998199207
"5",5,1.1,108,304,0.052613361024576,0.0604395604395604,2.87452405676705,0.161095737147211,0.0126867698212631
"6",6,1.1,110,373,0.0622185154295246,0.0993836671802773,2.68790658882402,0.239000626395262,0.0523428433705844
"7",7,1.1,112,349,0.0561454311454311,0.0684931506849315,2.80614543114543,0.198552509896099,0.0183948683418803
"8",8,1.1,114,403,0.0625679242353672,0.081447963800905,2.62199747155499,0.210234546999738,0.0265387537581307
"9",9,1.1,116,414,0.0620689655172414,0.0987654320987654,2.6767616191904,0.255457011654157,0.0498413626706876
"10",10,1.1,118,412,0.0596841952774156,0.0661070304302204,2.67217151962915,0.201470188494448,0.00940465334067967
"11",11,1.1,120,430,0.0602240896358543,0.0908212560386473,2.65714285714286,0.240107876199934,0.0415887755626996
"12",12,1.1,122,432,0.0585286546538409,0.0817547357926221,2.6913697330985,0.234470890976237,0.0316545204914406
"13",13,1.1,124,420,0.0550747442958301,0.0632594710507505,2.72016784683976,0.200415786972514,0.011776550765151
"14",14,1.1,126,486,0.0617142857142857,0.0789902280130293,2.60444444444444,0.236570019308465,0.0228525630442654
"15",15,1.1,128,484,0.0595472440944882,0.0807284588203316,2.64173228346457,0.243292988012783,0.0279026776930119
"16",16,1.1,130,496,0.0591532498509243,0.0656579302891111,2.61800834824091,0.219505380446785,0.00896090932067697
"17",17,1.1,132,475,0.0549386999768679,0.0740740740740741,2.69269026139255,0.23129296633013,0.0256581672151299
"18",18,1.1,134,495,0.0555493210638537,0.0750199521149242,2.68578161822467,0.24084373820256,0.0256545555297912
"19",19,1.1,136,565,0.0615468409586057,0.0791034937376401,2.57712418300654,0.256036451129141,0.0220905656131555
"20",20,1.1,138,549,0.0580768010155506,0.0835030549898167,2.60954194435629,0.255975855858134,0.0322948784261518
"21",21,1.1,140,591,0.0607399794450154,0.0707151418298042,2.55796505652621,0.245100414881878,0.0126736886822072
"22",22,1.1,142,599,0.0598341823993607,0.0891387271632202,2.57766456897413,0.274471484767341,0.0359577650162326
"23",23,1.1,144,596,0.0578865578865579,0.0752293577981651,2.58877233877234,0.253546469493915,0.0216466493469285
"24",24,1.1,146,591,0.0558337269721304,0.0881808838643371,2.63032593292395,0.275131108519788,0.0400112242370619
"25",25,1.1,148,622,0.0571796286082,0.0896616541353383,2.60479867622725,0.282526289003096,0.0394089733741341
"26",26,1.1,150,632,0.0565548098434004,0.0805029086132483,2.61700223713647,0.275767512829945,0.0289781950271511
"27",27,1.1,152,643,0.0560299756012548,0.071840115232265,2.59663645869641,0.259847689944695,0.0193189072432101
"28",28,1.1,154,715,0.0606909430438842,0.0905017921146953,2.53908836261777,0.297326103345691,0.0343754472503256
"29",29,1.1,156,673,0.0556658395368073,0.0773668137088565,2.60421836228288,0.276254489397049,0.0258685443858674
"30",30,1.1,158,692,0.0557929533177457,0.0773170328762597,2.58308473756349,0.274857974448595,0.025529712660726
"31",31,1.1,160,756,0.0594339622641509,0.0765263451352105,2.50465727251015,0.275021763708996,0.0198064401203025
"32",32,1.1,162,762,0.0584311019093628,0.0903092783505155,2.53193773483629,0.299192582437466,0.0362912914275141
"33",33,1.1,164,797,0.0596289091725273,0.0821602252367545,2.52094867574443,0.296621829326455,0.0252301747327355
"34",34,1.1,166,795,0.0580503833515882,0.0827872983870968,2.53946695874407,0.298410389696733,0.0277343291898485
"35",35,1.1,168,853,0.0608069575135443,0.0784490532010821,2.47640433418877,0.292210826698289,0.0194873152291627
"36",36,1.1,170,808,0.0562478245736164,0.0909433962264151,2.56004176818656,0.312319924893541,0.0385831746160501
"37",37,1.1,172,849,0.0577315381476948,0.0777830637488107,2.51305589555284,0.293932960549771,0.0221868359064388
"38",38,1.1,174,837,0.0556109228622683,0.0801385110066782,2.5375058135672,0.296026953608912,0.0273021955373134
"39",39,1.1,176,879,0.0570779220779221,0.0771466905187835,2.51831168831169,0.298666552788102,0.0219067212996851
"40",40,1.1,178,876,0.0556084555322796,0.0705143123109146,2.51945661143909,0.286173400157398,0.0165169577994661
"41",41,1.1,180,885,0.0549348230912477,0.0805970149253731,2.54618249534451,0.306480030610322,0.027888165353294
"42",42,1.1,182,933,0.0566450124461174,0.0788403378871624,2.51023010139032,0.306566905117019,0.0236934160747772
"43",43,1.1,184,901,0.0535162746495605,0.068394128113879,2.54894274174388,0.291205191090804,0.0163008036986457
"44",44,1.1,186,967,0.0562045916884627,0.07621799342433,2.51060738157512,0.307997169844455,0.0211013615695525
"45",45,1.1,188,1025,0.0583115257708499,0.0841269841269841,2.4653544202981,0.318025554367891,0.0265690747910848
"46",46,1.1,190,1035,0.0576441102756892,0.0820404943465685,2.47496519075466,0.31831624412184,0.0250050032963993
"47",47,1.1,192,1074,0.0585732984293194,0.0755075094900148,2.45178883071553,0.311379870414713,0.0172222016589063
"48",48,1.1,194,1022,0.0545911009027296,0.0808707735062529,2.51813471502591,0.320035290803361,0.0271060650574606
"49",49,1.1,196,1132,0.059236002093145,0.0827776500344907,2.44317111459969,0.32685491695707,0.0231875797384483
"50",50,1.1,198,1074,0.0550684510075373,0.0769686706181202,2.4981797672153,0.318231886612928,0.0222261079215333
"51",51,1.1,200,1191,0.0598492462311558,0.0800790904597133,2.42854271356784,0.328113088399197,0.0194980823362402
"52",52,1.1,202,1219,0.0600463031377765,0.0809536821970215,2.41727008521748,0.3294523534446,0.0199828117659988
"53",53,1.1,204,1142,0.055153095721047,0.0790142472083173,2.48179271708683,0.325156807882823,0.0236291427031411
"54",54,1.1,206,1189,0.0563106796116505,0.069181463198998,2.44854368932039,0.312386281110851,0.0127078920509782
"55",55,1.1,208,1244,0.057785209959123,0.0751288489493855,2.44518766257897,0.328798163346938,0.0164574370093643
"56",56,1.1,210,1234,0.0562314878104352,0.085528982569923,2.46671223513329,0.34248175920699,0.0277624276786637
"57",57,1.1,212,1272,0.0568720379146919,0.0843906189926951,2.44920862022713,0.341779953196336,0.0257685666312844
"58",58,1.1,214,1294,0.0567767978588039,0.0807868601986249,2.45074810232109,0.340279760624801,0.0222907922793235
"59",59,1.1,216,1290,0.0555555555555556,0.0778220110440478,2.4552540913006,0.334639974830666,0.0208898105815263
"60",60,1.1,218,1381,0.0583858284361392,0.0852464550979068,2.42823320509026,0.351673901464818,0.0239355985981744
"61",61,1.1,220,1383,0.0574097135740971,0.0798511734401832,2.42586135325861,0.342550375093874,0.0202294853647357
"62",62,1.1,222,1387,0.0565407035995271,0.0763580457806628,2.43671273083038,0.34011310402651,0.0178771085483635
"63",63,1.1,224,1383,0.0553731582319026,0.0799862684517679,2.44883087764254,0.344688852867289,0.0222603646665141
"64",64,1.1,226,1510,0.0593903638151426,0.0783897258582366,2.38808259587021,0.3460444774638,0.01631913477709
