"","V1","V2"
"1",-4,0
"2",-4,1
"3",-4,2
"4",-4,3
"5",-4,4
"6",-3.5,-1.5
"7",-3.5,-1
"8",-3.5,-0.5
"9",-3.5,0
"10",-3.5,0.5
"11",-3.5,1
"12",-3.5,1.5
"13",-3.5,2
"14",-3.5,2.5
"15",-3.5,3
"16",-3.5,3.5
"17",-3.5,4
"18",-3.5,4.5
"19",-3.5,5
"20",-3.5,5.5
"21",-3,-2.5
"22",-3,-2
"23",-3,-1.5
"24",-3,-1
"25",-3,-0.5
"26",-3,0
"27",-3,0.5
"28",-3,1
"29",-3,1.5
"30",-3,2
"31",-3,2.5
"32",-3,3
"33",-3,3.5
"34",-3,4
"35",-3,4.5
"36",-3,5
"37",-3,5.5
"38",-3,6
"39",-3,6.5
"40",-2.5,-3
"41",-2.5,-2.5
"42",-2.5,-2
"43",-2.5,-1.5
"44",-2.5,-1
"45",-2.5,-0.5
"46",-2.5,0
"47",-2.5,0.5
"48",-2.5,1
"49",-2.5,1.5
"50",-2.5,2
"51",-2.5,2.5
"52",-2.5,3
"53",-2.5,3.5
"54",-2.5,4
"55",-2.5,4.5
"56",-2.5,5
"57",-2.5,5.5
"58",-2.5,6
"59",-2.5,6.5
"60",-2.5,7
"61",-2,-3
"62",-2,-2.5
"63",-2,-2
"64",-2,-1.5
"65",-2,-1
"66",-2,-0.5
"67",-2,0
"68",-2,0.5
"69",-2,1
"70",-2,1.5
"71",-2,2
"72",-2,2.5
"73",-2,3
"74",-2,3.5
"75",-2,4
"76",-2,4.5
"77",-2,5
"78",-2,5.5
"79",-2,6
"80",-2,6.5
"81",-2,7
"82",-1.5,-3.5
"83",-1.5,-3
"84",-1.5,-2.5
"85",-1.5,-2
"86",-1.5,-1.5
"87",-1.5,-1
"88",-1.5,-0.5
"89",-1.5,0
"90",-1.5,0.5
"91",-1.5,1
"92",-1.5,1.5
"93",-1.5,2
"94",-1.5,2.5
"95",-1.5,3
"96",-1.5,3.5
"97",-1.5,4
"98",-1.5,4.5
"99",-1.5,5
"100",-1.5,5.5
"101",-1.5,6
"102",-1.5,6.5
"103",-1.5,7
"104",-1.5,7.5
"105",-1,-3.5
"106",-1,-3
"107",-1,-2.5
"108",-1,-2
"109",-1,-1.5
"110",-1,-1
"111",-1,-0.5
"112",-1,0
"113",-1,0.5
"114",-1,1
"115",-1,1.5
"116",-1,2
"117",-1,2.5
"118",-1,3
"119",-1,3.5
"120",-1,4
"121",-1,4.5
"122",-1,5
"123",-1,5.5
"124",-1,6
"125",-1,6.5
"126",-1,7
"127",-1,7.5
"128",-0.5,-3.5
"129",-0.5,-3
"130",-0.5,-2.5
"131",-0.5,-2
"132",-0.5,-1.5
"133",-0.5,-1
"134",-0.5,-0.5
"135",-0.5,0
"136",-0.5,0.5
"137",-0.5,1
"138",-0.5,1.5
"139",-0.5,2
"140",-0.5,2.5
"141",-0.5,3
"142",-0.5,3.5
"143",-0.5,4
"144",-0.5,4.5
"145",-0.5,5
"146",-0.5,5.5
"147",-0.5,6
"148",-0.5,6.5
"149",-0.5,7
"150",-0.5,7.5
"151",0,-4
"152",0,-3.5
"153",0,-3
"154",0,-2.5
"155",0,-2
"156",0,-1.5
"157",0,-1
"158",0,-0.5
"159",0,0
"160",0,0.5
"161",0,1
"162",0,1.5
"163",0,2
"164",0,2.5
"165",0,3
"166",0,3.5
"167",0,4
"168",0,4.5
"169",0,5
"170",0,5.5
"171",0,6
"172",0,6.5
"173",0,7
"174",0,7.5
"175",0,8
"176",0.5,-3.5
"177",0.5,-3
"178",0.5,-2.5
"179",0.5,-2
"180",0.5,-1.5
"181",0.5,-1
"182",0.5,-0.5
"183",0.5,0
"184",0.5,0.5
"185",0.5,1
"186",0.5,1.5
"187",0.5,2
"188",0.5,2.5
"189",0.5,3
"190",0.5,3.5
"191",0.5,4
"192",0.5,4.5
"193",0.5,5
"194",0.5,5.5
"195",0.5,6
"196",0.5,6.5
"197",0.5,7
"198",0.5,7.5
"199",1,-4
"200",1,-3.5
"201",1,-3
"202",1,-2.5
"203",1,-2
"204",1,-1.5
"205",1,-1
"206",1,-0.5
"207",1,0
"208",1,0.5
"209",1,1
"210",1,1.5
"211",1,2
"212",1,2.5
"213",1,3
"214",1,3.5
"215",1,4
"216",1,4.5
"217",1,5
"218",1,5.5
"219",1,6
"220",1,6.5
"221",1,7
"222",1,7.5
"223",1,8
"224",1.5,-3.5
"225",1.5,-3
"226",1.5,-2.5
"227",1.5,-2
"228",1.5,-1.5
"229",1.5,-1
"230",1.5,-0.5
"231",1.5,0
"232",1.5,0.5
"233",1.5,1
"234",1.5,1.5
"235",1.5,2
"236",1.5,2.5
"237",1.5,3
"238",1.5,3.5
"239",1.5,4
"240",1.5,4.5
"241",1.5,5
"242",1.5,5.5
"243",1.5,6
"244",1.5,6.5
"245",1.5,7
"246",1.5,7.5
"247",2,-4
"248",2,-3.5
"249",2,-3
"250",2,-2.5
"251",2,-2
"252",2,-1.5
"253",2,-1
"254",2,-0.5
"255",2,0
"256",2,0.5
"257",2,1
"258",2,1.5
"259",2,2
"260",2,2.5
"261",2,3
"262",2,3.5
"263",2,4
"264",2,4.5
"265",2,5
"266",2,5.5
"267",2,6
"268",2,6.5
"269",2,7
"270",2,7.5
"271",2,8
"272",2.5,-3.5
"273",2.5,-3
"274",2.5,-2.5
"275",2.5,-2
"276",2.5,-1.5
"277",2.5,-1
"278",2.5,-0.5
"279",2.5,0
"280",2.5,0.5
"281",2.5,1
"282",2.5,1.5
"283",2.5,2
"284",2.5,2.5
"285",2.5,3
"286",2.5,3.5
"287",2.5,4
"288",2.5,4.5
"289",2.5,5
"290",2.5,5.5
"291",2.5,6
"292",2.5,6.5
"293",2.5,7
"294",2.5,7.5
"295",3,-4
"296",3,-3.5
"297",3,-3
"298",3,-2.5
"299",3,-2
"300",3,-1.5
"301",3,-1
"302",3,-0.5
"303",3,0
"304",3,0.5
"305",3,1
"306",3,1.5
"307",3,2
"308",3,2.5
"309",3,3
"310",3,3.5
"311",3,4
"312",3,4.5
"313",3,5
"314",3,5.5
"315",3,6
"316",3,6.5
"317",3,7
"318",3,7.5
"319",3,8
"320",3.5,-3.5
"321",3.5,-3
"322",3.5,-2.5
"323",3.5,-2
"324",3.5,-1.5
"325",3.5,-1
"326",3.5,-0.5
"327",3.5,0
"328",3.5,0.5
"329",3.5,1
"330",3.5,1.5
"331",3.5,2
"332",3.5,2.5
"333",3.5,3
"334",3.5,3.5
"335",3.5,4
"336",3.5,4.5
"337",3.5,5
"338",3.5,5.5
"339",3.5,6
"340",3.5,6.5
"341",3.5,7
"342",3.5,7.5
"343",4,-4
"344",4,-3.5
"345",4,-3
"346",4,-2.5
"347",4,-2
"348",4,-1.5
"349",4,-1
"350",4,-0.5
"351",4,0
"352",4,0.5
"353",4,1
"354",4,1.5
"355",4,2
"356",4,2.5
"357",4,3
"358",4,3.5
"359",4,4
"360",4,4.5
"361",4,5
"362",4,5.5
"363",4,6
"364",4,6.5
"365",4,7
"366",4,7.5
"367",4,8
"368",4.5,-3.5
"369",4.5,-3
"370",4.5,-2.5
"371",4.5,-2
"372",4.5,-1.5
"373",4.5,-1
"374",4.5,-0.5
"375",4.5,0
"376",4.5,0.5
"377",4.5,1
"378",4.5,1.5
"379",4.5,2
"380",4.5,2.5
"381",4.5,3
"382",4.5,3.5
"383",4.5,4
"384",4.5,4.5
"385",4.5,5
"386",4.5,5.5
"387",4.5,6
"388",4.5,6.5
"389",4.5,7
"390",4.5,7.5
"391",5,-4
"392",5,-3.5
"393",5,-3
"394",5,-2.5
"395",5,-2
"396",5,-1.5
"397",5,-1
"398",5,-0.5
"399",5,0
"400",5,0.5
"401",5,1
"402",5,1.5
"403",5,2
"404",5,2.5
"405",5,3
"406",5,3.5
"407",5,4
"408",5,4.5
"409",5,5
"410",5,5.5
"411",5,6
"412",5,6.5
"413",5,7
"414",5,7.5
"415",5,8
"416",5.5,-3.5
"417",5.5,-3
"418",5.5,-2.5
"419",5.5,-2
"420",5.5,-1.5
"421",5.5,-1
"422",5.5,-0.5
"423",5.5,0
"424",5.5,0.5
"425",5.5,1
"426",5.5,1.5
"427",5.5,2
"428",5.5,2.5
"429",5.5,3
"430",5.5,3.5
"431",5.5,4
"432",5.5,4.5
"433",5.5,5
"434",5.5,5.5
"435",5.5,6
"436",5.5,6.5
